analysis_sample,outcome,term,coefficient_log_odds,robust_standard_error,z_value,p_value,ci_95_log_odds_low,ci_95_log_odds_high,odds_ratio,ci_95_odds_ratio_low,ci_95_odds_ratio_high
publications_through_2021_primary,has_policy_document_link,log1p_times_cited,1.116768059330525,0.087908460791826,12.703760812911025,5.635503237646564e-37,0.9444706422421943,1.2890654764188554,3.0549647659929646,2.5714518002798,3.629393216875753
publications_through_2020_window_robustness,has_policy_document_link,const,-7.084410750158187,0.5428524056058894,-13.05034421326939,6.326093589214854e-39,-8.14838191406666,-6.020439586249715,0.0008380684735348,0.0002892029364397,0.0024286017803947
publications_through_2020_window_robustness,has_policy_document_link,ethics_responsibility_primary,0.981188307427584,0.3077027609586018,3.18875366724315,0.001428875819531,0.3781019780051868,1.584274636849981,2.66762431702296,1.4595117733861451,4.87575340366197
publications_through_2020_window_robustness,has_policy_document_link,computational_performance_primary,-0.0395507586931026,0.3214521985306282,-0.1230377607429373,0.902077196371597,-0.6695854905643531,0.5904839731781478,0.9612211624223236,0.5119207297868018,1.804861708712824
publications_through_2020_window_robustness,has_policy_document_link,mental_health_conditions_symptoms,0.6484674504726063,0.2281032616132878,2.842867944483749,0.0044709590943624,0.2013932729544443,1.0955416279907684,1.9126074161960456,1.223105691639699,2.9908021469380115
publications_through_2020_window_robustness,has_policy_document_link,clinical_assessment_diagnosis,0.0568933071840295,0.2578915396258787,0.2206094363024246,0.8253965529761411,-0.448564822400277,0.5623514367683361,1.0585428654512596,0.638543918248622,1.75479393973569
publications_through_2020_window_robustness,has_policy_document_link,treatment_intervention,0.0638365996898788,0.2254724613260764,0.2831237097179637,0.7770820071298767,-0.3780813040148311,0.5057545033945888,1.0659182131643077,0.6851747909398244,1.658236193419988
publications_through_2020_window_robustness,has_policy_document_link,neurocognitive_affective_processes,-0.3982616190594861,0.3068677258050247,-1.2978283004988622,0.1943463424347583,-0.9997113096550472,0.2031880715360749,0.6714863310578326,0.3679856597456158,1.2253028911757236
publications_through_2020_window_robustness,has_policy_document_link,publication_year_centered,0.0794544183067142,0.0353831675097849,2.2455428357210194,0.0247333055427571,0.010104684328588,0.1488041522848405,1.082696207278226,1.010155909042416,1.1604456963142251
publications_through_2020_window_robustness,has_policy_document_link,log1p_times_cited,1.1379810826561472,0.1048506716487999,10.853350434109226,1.92246506178941e-27,0.9324775424696644,1.34348462284263,3.1204620464137043,2.54079631685641,3.832374645109616
